# cross-sections for absorption and fluorescence
# E XPHOT XKFEa2 XKFEa1 XKFEb XKC XKO XKNE XKMG XKSI XKAR XKCA XKCR XKNIa2 XKNIa1
# but first: line energies
0 0 6.39084  6.40384  7.05798  0.277 0.5249 0.8486 1.2536 1.73938 2.956 3.69 5.41 7.47815 7.476089
# and second: line yields (fractions of cross-sections)
0 1 0.101391 0.198621 0.045828 0.0025 0.0086 0.0183 0.0303 0.042914 0.121024 0.146496 0.245361 0.12106 0.236419
# and third: intrinsic line widths (also in keV) # from doi:10.1103/PhysRevA.56.4554
0 1 0.00314 0.00255 0.00353 0 0 0 0 0 0 0 0 0.00316 0.00224
# and forth: asymmetry of the line complex: ratio of profile height at half-maximum # from doi:10.1103/PhysRevA.56.4554
0 1 1.22 1.66 1 1 1 1 1 1 1 1 1 1.22 1.22
# now comes the absorption cross-section table
# E XPHOT XKFEa2 XKFEa1 XKFEb XKC XKO XKNE XKMG XKSI XKAR XKCA XKCR XKNIa2 XKNIa1
5.550000000000000488e-01 1.026224792739849123e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 7.468297907089670173e-02 3.974638313569531789e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.650000000000000577e-01 9.790839547164593704e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 7.132621280954264120e-02 3.829884532593498259e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.749999999999999556e-01 9.348361922205867813e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 6.816526931039786075e-02 3.691327538222681226e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.849999999999999645e-01 8.932587182608204834e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 6.518620566757056534e-02 3.558706274004364567e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.949999999999999734e-01 8.542594660176624499e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 6.237553164879965778e-02 3.431663426806532136e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.049999999999999822e-01 8.181036940278807457e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 5.972175729746275613e-02 3.309976512313804742e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.149999999999999911e-01 7.833883121037876762e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 5.721481374516280971e-02 3.193508445857519695e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.250000000000000000e-01 7.506206686841591091e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 5.484478518486143178e-02 3.082020881790920597e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.350000000000000089e-01 7.196825418222700943e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 5.260171132265917954e-02 2.975171022697603584e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.450000000000000178e-01 6.904477642128422632e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 5.047795890078547731e-02 2.872846623246203546e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.550000000000000266e-01 6.628011521264901562e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.846590729441894313e-02 2.774859523845501497e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.650000000000000355e-01 6.366322918499498495e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.655827172070425152e-02 2.680994362937380027e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.750000000000000444e-01 6.118414101075673184e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.474790419650582357e-02 2.590983146457206399e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.849999999999999423e-01 5.883493244045006065e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.302932885146477232e-02 2.504737519240802235e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.949999999999999512e-01 5.661259587406746174e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.139684742794856598e-02 2.422077411312399953e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
7.049999999999999600e-01 5.534816425880921820e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.984496945457585010e-02 2.342805036780030714e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
7.149999999999999689e-01 5.914424430601080696e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.836871746640141412e-02 2.266747973728597820e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
7.249999999999999778e-01 5.708240080212920731e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.696387322428090760e-02 2.193798621195526544e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
7.349999999999999867e-01 5.511662773919787650e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.562620020457811509e-02 2.123810475150139654e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
7.449999999999999956e-01 5.324073993625683121e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.435150516424792522e-02 2.056611675435214281e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
7.550000000000000044e-01 5.144999332715823881e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.313624316968952904e-02 1.992085502516587336e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
7.650000000000000133e-01 4.973959534097318058e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.197717273315122538e-02 1.930127868832663407e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
7.750000000000000222e-01 4.810494040122409443e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.087109026852930330e-02 1.870617986943210465e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
7.850000000000000311e-01 4.654160686182925444e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.981477370372957042e-02 1.813411281679418174e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
7.950000000000000400e-01 4.504587841626248590e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.880566883659646873e-02 1.758428147471735037e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
8.049999999999999378e-01 4.361417302607419333e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.784122415631758510e-02 1.705572403857135433e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
8.149999999999999467e-01 4.224311978416246949e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.691901620048593735e-02 1.654746065330314764e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
